2019/10/02 12:50:12 [error] 40434#287940: *3 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 12:51:29 [error] 40435#287940: *37 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 12:52:30 [error] 59105#307893: *4 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 12:55:50 [error] 59119#307893: *56 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 12:57:30 [error] 59119#307893: *73 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 12:59:10 [error] 59119#307893: *97 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:00:50 [error] 59119#307893: *118 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:02:30 [error] 59119#307893: *156 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:04:10 [error] 59119#307893: *181 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:05:50 [error] 59119#307893: *222 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:07:30 [error] 59119#307893: *239 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:09:10 [error] 59119#307893: *256 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:10:50 [error] 59119#307893: *273 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:12:30 [error] 59119#307893: *290 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:14:10 [error] 59119#307893: *307 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:15:50 [error] 59119#307893: *324 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:17:30 [error] 59119#307893: *341 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:19:10 [error] 59119#307893: *358 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:20:50 [error] 59119#307893: *378 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:22:30 [error] 59119#307893: *395 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:24:10 [error] 59119#307893: *412 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:25:50 [error] 59119#307893: *429 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:25:50 [error] 59107#307893: *431 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:27:30 [error] 59107#307893: *448 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:29:10 [error] 59106#307893: *465 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:30:50 [error] 59106#307893: *482 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:32:30 [error] 59106#307893: *499 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:34:10 [error] 59116#307893: *516 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:34:32 [error] 59110#307893: *538 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:34:32 [error] 59106#307893: *534 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:36:22 [error] 35294#399099: *3 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
2019/10/02 13:38:36 [error] 35733#400377: *3 lua tcp socket connect timed out, when connecting to 10.16.49.95:2500, context: ngx.timer
